Authors,Title,Year,Source title,Link,Abstract
"Murphy-Hill E., Zimmermann T., Nagappan N.","Cowboys, ankle sprains, and keepers of quality: How is video game development different from software development?",2014,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994106753&doi=10.1145%2f2568225.2568226&partnerID=40&md5=4f35d59706ef8d41fc7115e733b1a12d,"Video games make up an important part of the software industry, yet the software engineering community rarely studies video games. This imbalance is a problem if video game development differs from general software development, as some game experts suggest. In this paper we describe a study with 14 interviewees and 364 survey respondents. The study elicited substantial differences between video game development and other software development. For example, in game development, cowboy coders are necessary to cope with the continuous interplay between creative desires and technical constraints. Consequently, game developers are hesitant to use automated testing because of these tests rapid obsolescence in the face of shifting creative desires of game designers. These differences between game and non-game development have implications for research, industry, and practice. For instance, as a starting point for impacting game development, researchers could create testing tools that enable game developers to create tests that assert flexible behavior with little up-front investment. © 2014 ACM."
Rifkin S.,Quality software,2014,IEEE Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897096689&doi=10.1109%2fMS.2014.48&partnerID=40&md5=8d14ad15eefe266bf3f7c0c7de8a0274,[No abstract available]
"Breu R., Kuntzmann-Combelles A., Felderer M.",New perspectives on software quality,2014,IEEE Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896288088&doi=10.1109%2fMS.2014.9&partnerID=40&md5=6e2e5fb2f50c47f1203ae65ab9be581d,"This special issue, owing to its fundamental software quality focus, comprises a collection of diverse articles that address the challenges and directions for software quality research. The Web extra at http://youtu.be/ T7V4RSr1KEE is an audio interview in which Davide Falessi speaks with guest editors Annie Kuntzmann-Combelles, Michael Felderer, and Ruth Breu about methods for improving software quality management, testing, and security on intelligent and interconnected devices. © 1984-2012 IEEE."
Thakurta R.,A framework for prioritization of quality requirements for inclusion in a software project,2013,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883450871&doi=10.1007%2fs11219-012-9188-5&partnerID=40&md5=cd6f505b77e01c4b9a0c58ebce43ccf2,"Non-functional requirements (NFRs) determine the characteristics of a software product or service as a whole. The research described in this paper presents a quantitative framework involving respondents of both the project and the business organization, in order to determine the priority of a list of NFRs to be considered for implementation during a software development. The framework also provides a quantitative basis for evaluating the extent of value addition that can be achieved while deciding upon whether or not to consider a particular non-functional requirement for inclusion to the project's requirement set. The assessment process also indicates the extent to which different business values are perceived important by representatives of business organizations, and their perception of the importance of the different NFRs. The work distinguishes from others by explicitly considering dependencies among NFRs in the evaluation process. The final results are expected to be beneficial to both the business and the project organization by identifying and implementing the desired NFRs that contribute to business value in a cost-effective manner. © 2012 Springer Science+Business Media New York."
Kouroshfar E.,Studying the effect of co-change dispersion on software quality,2013,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886429987&doi=10.1109%2fICSE.2013.6606741&partnerID=40&md5=f9b5aa44f572315b1cd1c58858d1d1a6,"Software change history plays an important role in measuring software quality and predicting defects. Co-change metrics such as number of files changed together has been used as a predictor of bugs. In this study, we further investigate the impact of specific characteristics of co-change dispersion on software quality. Using statistical regression models we show that co-changes that include files from different subsystems result in more bugs than co-changes that include files only from the same subsystem. This can be used to improve bug prediction models based on co-changes. © 2013 IEEE."
"Samarthyam G., Suryanarayana G., Sharma T., Gupta S.",MIDAS: A design quality assessment method for industrial software,2013,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886396370&doi=10.1109%2fICSE.2013.6606640&partnerID=40&md5=ad0d81ee2973d5ee478e587bb1b55aa5,"Siemens Corporate Development Center Asia Australia (CT DC AA) develops and maintains software applications for the Industry, Energy, Healthcare, and Infrastructure & Cities sectors of Siemens. The critical nature of these applications necessitates a high level of software design quality. A survey of software architects indicated a low level of satisfaction with existing design assessment practices in CT DC AA and highlighted several shortcomings of existing practices. To address this, we have developed a design assessment method called MIDAS (Method for Intensive Design ASsessments). MIDAS is an expert-based method wherein manual assessment of design quality by experts is directed by the systematic application of design analysis tools through the use of a three view-model consisting of design principles, project-specific constraints, and an 'ility'-based quality model. In this paper, we describe the motivation for MIDAS, its design, and its application to three projects in CT DC AA. We believe that the insights from our MIDAS experience not only provide useful pointers to other organizations and practitioners looking to assess and improve software design quality but also suggest research questions for the software engineering community to explore. © 2013 IEEE."
Guerrouj L.,Normalizing source code vocabulary to support program comprehension and software quality,2013,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886391532&doi=10.1109%2fICSE.2013.6606723&partnerID=40&md5=191e7233ea6777ff76ebefbf832bbda5,"The literature reports that source code lexicon plays a paramount role in program comprehension, especially when software documentation is scarce, outdated or simply not available. In source code, a significant proportion of vocabulary can be either acronyms and-or abbreviations or concatenation of terms that can not be identified using consistent mechanisms such as naming conventions. It is, therefore, essential to disambiguate concepts conveyed by identifiers to support program comprehension and reap the full benefit of Information Retrieval-based techniques (e.g., feature location and traceability) whose linguistic information (i.e., source code identifiers and comments) used across all software artifacts (e.g., requirements, design, change requests, tests, and source code) must be consistent. To this aim, we propose source code vocabulary normalization approaches that exploit contextual information to align the vocabulary found in the source code with that found in other software artifacts. We were inspired in the choice of context levels by prior works and by our findings. Normalization consists of two tasks: splitting and expansion of source code identifiers. We also investigate the effect of source code vocabulary normalization approaches on software maintenance tasks. Results of our evaluation show that our contextual-aware techniques are accurate and efficient in terms of computation time than state of the art alternatives. In addition, our findings reveal that feature location techniques can benefit from vocabulary normalization when no dynamic information is available. © 2013 IEEE."
Brandtner M.,Fostering software quality assessment,2013,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886382849&doi=10.1109%2fICSE.2013.6606725&partnerID=40&md5=9e042076903be6351b3b97be6a877cb3,"Software quality assessment shall monitor and guide the evolution of a system based on quality measurements. This continuous process should ideally involve multiple stakeholders and provide adequate information for each of them to use. We want to support an effective selection of quality measurements based on the type of software and individual information needs of the involved stakeholders. We propose an approach that brings together quality measurements and individual information needs for a context-sensitive tailoring of information related to a software quality assessment. We address the following research question: How can we better support different stakeholders in the quality assessment of a software system? For that we will devise theories, models, and prototypes to capture their individual information needs, tailor information from software repositories to these needs, and enable a contextual analysis of the quality aspects. Such a context-sensitive tailoring will provide a effective and individual view on the latest development trends in a project. We outline the milestones as well as evaluation approaches in this paper. © 2013 IEEE."
"Çalıklı G., Bener A.B.",Influence of confirmation biases of developers on software quality: An empirical study,2013,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875477125&doi=10.1007%2fs11219-012-9180-0&partnerID=40&md5=cc6f8f69000fcbb792e93b5cc875f69d,"The thought processes of people have a significant impact on software quality, as software is designed, developed and tested by people. Cognitive biases, which are defined as patterned deviations of human thought from the laws of logic and mathematics, are a likely cause of software defects. However, there is little empirical evidence to date to substantiate this assertion. In this research, we focus on a specific cognitive bias, confirmation bias, which is defined as the tendency of people to seek evidence that verifies a hypothesis rather than seeking evidence to falsify a hypothesis. Due to this confirmation bias, developers tend to perform unit tests to make their program work rather than to break their code. Therefore, confirmation bias is believed to be one of the factors that lead to an increased software defect density. In this research, we present a metric scheme that explores the impact of developers' confirmation bias on software defect density. In order to estimate the effectiveness of our metric scheme in the quantification of confirmation bias within the context of software development, we performed an empirical study that addressed the prediction of the defective parts of software. In our empirical study, we used confirmation bias metrics on five datasets obtained from two companies. Our results provide empirical evidence that human thought processes and cognitive aspects deserve further investigation to improve decision making in software development for effective process management and resource allocation. © 2012 Springer Science+Business Media, LLC."
"Bettenburg N., Hassan A.E.",Studying the impact of social interactions on software quality,2013,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880701721&doi=10.1007%2fs10664-012-9205-0&partnerID=40&md5=6196585ec2ffd6929a1369e0a035a33c,"Correcting software defects accounts for a significant amount of resources in a software project. To make best use of testing efforts, researchers have studied statistical models to predict in which parts of a software system future defects are likely to occur. By studying the mathematical relations between predictor variables used in these models, researchers can form an increased understanding of the important connections between development activities and software quality. Predictor variables used in past top-performing models are largely based on source code-oriented metrics, such as lines of code or number of changes. However, source code is the end product of numerous interlaced and collaborative activities carried out by developers. Traces of such activities can be found in the various repositories used to manage development efforts. In this paper, we develop statistical models to study the impact of social interactions in a software project on software quality. These models use predictor variables based on social information mined from the issue tracking and version control repositories of two large open-source software projects. The results of our case studies demonstrate the impact of metrics from four different dimensions of social interaction on post-release defects. Our findings show that statistical models based on social information have a similar degree of explanatory power as traditional models. Furthermore, our results demonstrate that social information does not substitute, but rather augments traditional source code-based metrics used in defect prediction models. © 2012 Springer Science+Business Media, LLC."
"Li J., Stalhane T., Conradi R., Kristiansen J.M.W.",Enhancing defect tracking systems to facilitate software quality improvement,2012,IEEE Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863297555&doi=10.1109%2fMS.2011.24&partnerID=40&md5=e741c2dc3eecffec2fa5e97a54b547a6,"For projects that rely on empirical process control and deliver frequently working versions of software, developers and project managers regularly need to examine the status of their software quality. This study illustrates that simple goal-oriented changes or extensions to the existing data of projects' respective defect tracking systems could provide valuable and prompt information to improve their software quality assessment and assurance. © 2012 IEEE."
"Bagheri E., Gašević D.",Foreword to the special issue on quality engineering for software product lines,2012,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865649009&doi=10.1007%2fs11219-012-9185-8&partnerID=40&md5=1030fd74f2cd39a002f56b382510c8a3,[No abstract available]
"Montagud S., Abrahão S., Insfran E.",A systematic review of quality attributes and measures for software product lines,2012,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865626740&doi=10.1007%2fs11219-011-9146-7&partnerID=40&md5=33b25cd0a25fc09685e06cbc9c988f14,"It is widely accepted that software measures provide an appropriate mechanism for understanding, monitoring, controlling, and predicting the quality of software development projects. In software product lines (SPL), quality is even more important than in a single software product since, owing to systematic reuse, a fault or an inadequate design decision could be propagated to several products in the family. Over the last few years, a great number of quality attributes and measures for assessing the quality of SPL have been reported in literature. However, no studies summarizing the current knowledge about them exist. This paper presents a systematic literature review with the objective of identifying and interpreting all the available studies from 1996 to 2010 that present quality attributes and/or measures for SPL. These attributes and measures have been classified using a set of criteria that includes the life cycle phase in which the measures are applied; the corresponding quality characteristics; their support for specific SPL characteristics (e. g., variability, compositionality); the procedure used to validate the measures, etc. We found 165 measures related to 97 different quality attributes. The results of the review indicated that 92% of the measures evaluate attributes that are related to maintainability. In addition, 67% of the measures are used during the design phase of Domain Engineering, and 56% are applied to evaluate the product line architecture. However, only 25% of them have been empirically validated. In conclusion, the results provide a global vision of the state of the research within this area in order to help researchers in detecting weaknesses, directing research efforts, and identifying new research lines. In particular, there is a need for new measures with which to evaluate both the quality of the artifacts produced during the entire SPL life cycle and other quality characteristics. There is also a need for more validation (both theoretical and empirical) of existing measures. In addition, our results may be useful as a reference guide for practitioners to assist them in the selection or the adaptation of existing measures for evaluating their software product lines. © 2011 Springer Science+Business Media, LLC."
"Kanellopoulos Y., Ferenc R.",Introduction to the software quality and maintainability special issue,2012,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860470115&doi=10.1007%2fs11219-012-9179-6&partnerID=40&md5=d7d0d7bab5a910289ab74494c544bee6,[No abstract available]
"Baggen R., Correia J.P., Schill K., Visser J.",Standardized code quality benchmarking for improving software maintainability,2012,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860465895&doi=10.1007%2fs11219-011-9144-9&partnerID=40&md5=042a7624f2cb95e1a97643ef8e0f9071,"We provide an overview of the approach developed by the Software Improvement Group for code analysis and quality consulting focused on software maintainability. The approach uses a standardized measurement model based on the ISO/IEC 9126 definition of maintainability and source code metrics. Procedural standardization in evaluation projects further enhances the comparability of results. Individual assessments are stored in a repository that allows any system at hand to be compared to the industrywide state of the art in code quality and maintainability. When a minimum level of software maintainability is reached, the certification body of TÜV Informationstechnik GmbH issues a Trusted Product Maintainability certificate for the software product. © Springer Science+Business Media, LLC 2011."
"Ferreira M.A., Bijlsma D., Luijten B., Visser J.",Faster issue resolution with higher technical quality of software,2012,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860457417&doi=10.1007%2fs11219-011-9140-0&partnerID=40&md5=a369c780c5c147d0de77f400e230e1bb,"We performed an empirical study of the relation between technical quality of software products and the issue resolution performance of their maintainers. In particular, we tested the hypothesis that ratings for source code maintainability, as employed by the Software Improvement Group (SIG) quality model, are correlated with ratings for issue resolution speed. We tested the hypothesis for issues of type defect and of type enhancement. This study revealed that all but one of the metrics of the SIG quality model show a significant positive correlation with the resolution speed of defects, enhancements, or both. © Springer Science+Business Media, LLC 2011."
"Hneif M., Lee S.P.",Using guidelines to improve quality in software nonfunctional attributes,2011,IEEE Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054914524&doi=10.1109%2fMS.2010.157&partnerID=40&md5=6e2010ce3bb7f3946153f99917c98cd3,"Software development aims to produce software systems that satisfy two requirement categories: functional and quality. One aspect of software quality is nonfunctional attributes (NFAs), such as security, performance, and availability. Software engineers can meet NFA requirements by applying suitable guidelines during software development. However, this process is complicated by the different effects of different guidelines on NFA quality and the relationships among the guidelines themselves. Thus, finding a suitable set of guidelines is not straightforward. This article introduces a step-by-step approach that gives software engineers a suitable guideline set to apply to improve NFA quality during the software development life cycle. The approach manages the effects different guidelines have on both the attributes and the relationships among the guidelines. © 2011 IEEE."
"Becker P., Lew P., Olsina L.",Strategy to improve quality for software applications: A process view,2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960589413&doi=10.1145%2f1987875.1987897&partnerID=40&md5=697727eaef77cbebdc3618cbb98affc8,"Each organization devoted to developing software/web applications should have as one of its ultimate goals to improve the quality in use of its products. In order to accomplish this, first it has to understand the quality of the current product version and then make appropriate changes to increase the quality of the new version if improvement actions were needed. For this purpose, we have developed a specific strategy called SIQinU (Strategy for understanding and Improving Quality in Use), which allows recognizing problems of quality in use through evaluation and proposes product improvements by understanding and making changes on product attributes. Hence by re-evaluating quality in use of the new version, improvement gains can be gauged. SIQinU is in alignment with GOCAME (Goal-Oriented Context-Aware Measurement and Evaluation), a multi-purpose generic strategy previously developed for measurement and evaluation which relies on: a conceptual framework (with ontological base), a process, and methods and tools. Since the process aspect is paramount in defining SIQinU - given the amount of phases and activities - in this paper we model the functional and behavioral process views illustrating them with excerpts of a real case study. © 2011 ACM."
"Zazworka N., Shaw M.A., Shull F., Seaman C.",Investigating the impact of design debt on software quality,2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960575289&doi=10.1145%2f1985362.1985366&partnerID=40&md5=d9310e0f3e41a03b6cdbea5be3d4e89a,"Technical debt is a metaphor describing situations where developers accept sacrifices in one dimension of development (e.g. software quality) in order to optimize another dimension (e.g. implementing necessary features before a deadline). Approaches, such as code smell detection, have been developed to identify particular kinds of debt, e.g. design debt. What has not yet been understood is the impact design debt has on the quality of a software product. Answering this question is important for understanding how growing debt affects a software product and how it slows down development, e.g. though introducing rework such as fixing bugs. In this case study we investigate how design debt, in the form of god classes, affects the maintainability and correctness of software products by studying two sample applications of a small-size software development company. The results show that god classes are changed more often and contain more defects than non-god classes. This result complements findings of earlier research and suggests that technical debt has a negative impact on software quality, and should therefore be identified and managed closely in the development process. © 2011 ACM."
"Bohnet J., Döllner J.",Monitoring code quality and development activity by software maps,2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960574745&doi=10.1145%2f1985362.1985365&partnerID=40&md5=d1655b4f6a737d37ff19ea1b8c2c2c1c,"Software development projects are difficult to manage, in general, due to the friction between completing system features and, at the same time, obtaining a high degree of code quality to ensure maintainability of the system in the future. A major challenge of this optimization problem is that code quality is less visible to stakeholders in the development process, particularly, to the management. In this paper, we describe an approach for automated software analysis and monitoring of both quality-related code metrics and development activities by means of software maps. A software map represents an adaptive, hierarchical representation of software implementation artifacts such as source code files being organized in a modular hierarchy. The maps can express and combine information about software development, software quality, and system dynamics; they can systematically be specified, automatically generated, and organized by templates. The maps aim at supporting decision-making processes. For example, they facilitate to decide where in the code an increase of quality would be beneficial both for speeding up current development activities and for reducing risks of future maintenance problems. Due to their high degree of expressiveness and their instantaneous generation, the maps additionally serve as up-to-date information tools, bridging an essential information gap between management and development, improve awareness, and serve as early risk detection instrument. The software map concept and its tool implementation are evaluated by means of two case studies on large industrially developed software systems. © 2011 ACM."
"Streit J., Pizka M.",Why software quality improvement fails (and how to succeed nevertheless),2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959915967&doi=10.1145%2f1985793.1985895&partnerID=40&md5=157171d0717cd135f6d9bb615b012ece,"Quality improvement is the key to enormous cost reduction in the IT business. However, improvement projects often fail in practice. In many cases, stakeholders fearing, e.g., a loss of power or not recognizing the benefits inhibit the improvement. Systematic change management and an economic perspective help to overcome these issues, but are little known and seldom applied. This industrial experience report presents the main challenges in software quality improvement projects as well as practices for tackling them. The authors have performed over 50 quality analyses and quality improvement projects in mission-critical software systems of European banking, insurance and automotive companies. © 2011 ACM."
"Koziolek H., Schlich B., Bilich C., Weiss R., Becker S., Krogmann K., Trifu M., Mirandola R., Koziolek A.",An industrial case study on quality impact prediction for evolving service-oriented software,2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959911405&doi=10.1145%2f1985793.1985902&partnerID=40&md5=e03e95c9edbcc73b224aa5c8d203d93a,"Systematic decision support for architectural design decisions is a major concern for software architects of evolving service-oriented systems. In practice, architects often analyse the expected performance and reliability of design alternatives based on prototypes or former experience. Model-driven prediction methods claim to uncover the tradeoffs between different alternatives quantitatively while being more cost-effective and less error-prone. However, they often suffer from weak tool support and focus on single quality attributes. Furthermore, there is limited evidence on their effectiveness based on documented industrial case studies. Thus, we have applied a novel, model-driven prediction method called Q-ImPrESS on a large-scale process control system consisting of several million lines of code from the automation domain to evaluate its evolution scenarios. This paper reports our experiences with the method and lessons learned. Benefits of Q-ImPrESS are the good architectural decision support and comprehensive tool framework, while one drawback is the time-consuming data collection. © 2011 ACM."
"Ramasubbu N., Cataldo M., Balan R.K., Herbsleb J.D.","Configuring global software teams: A multi-company analysis of project productivity, quality, and profits",2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959893269&doi=10.1145%2f1985793.1985830&partnerID=40&md5=cccb96b63639e9e080e257f0d4e1fd13,"In this paper, we examined the impact of project-level configurational choices of globally distributed software teams on project productivity, quality, and profits. Our analysis used data from 362 projects of four different firms. These projects spanned a wide range of programming languages, application domain, process choices, and development sites spread over 15 countries and 5 continents. Our analysis revealed fundamental tradeoffs in choosing configurational choices that are optimized for productivity, quality, and/or profits. In particular, achieving higher levels of productivity and quality require diametrically opposed configurational choices. In addition, creating imbalances in the expertise and personnel distribution of project teams significantly helps increase profit margins. However, a profit-oriented imbalance could also significantly affect productivity and/or quality outcomes. Analyzing these complex tradeoffs, we provide actionable managerial insights that can help software firms and their clients choose configurations that achieve desired project outcomes in globally distributed software development. © 2011 ACM."
Shihab E.,Pragmatic prioritization of software quality assurance efforts,2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959864680&doi=10.1145%2f1985793.1986007&partnerID=40&md5=0e2ecdae077441ec1422a8aaa4bbf673,"A plethora of recent work leverages historical data to help practitioners better prioritize their software quality assurance efforts. However, the adoption of this prior work in practice remains low. In our work, we identify a set of challenges that need to be addressed to make previous work on quality assurance prioritization more pragmatic. We outline four guidelines that address these challenges to make prior work on software quality assurance more pragmatic: 1) Focused Granularity (i.e., small prioritization units), 2) Timely Feedback (i.e., results can be acted on in a timely fashion), 3) Estimate Effort (i.e., estimate the time it will take to complete tasks), and 4) Evaluate Generality (i.e., evaluate findings across multiple projects and multiple domains). We present two approaches, at the code and change level, that demonstrate how prior approaches can be more pragmatic. © 2011 Author."
"Turnu I., Concas G., Marchesi M., Tonelli R.",The fractal dimension metric and its use to assess object-oriented software quality,2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959820792&doi=10.1145%2f1985374.1985391&partnerID=40&md5=b5b6e37a0c9c5c579dc5012d4a9d2036,"We present a study were software systems are considered as complex networks which have a self-similar structure under a length-scale transformation. On such complex software networks we computed a self-similar coefficient, also known as fractal dimension, using ""the box counting method"". We analyzed various releases of the publically available Eclipse software systems, calculating the fractal dimension for twenty sub-projects, randomly chosen, for every release, as well as for each release as a whole. Our results display an overall consistency among the sub-projects and among all the analyzed releases. We found a very good correlation between the fractal dimension and the number of bugs for Eclipse and for twenty sub-projects. Since the fractal dimension is just a scalar number that characterizes a whole system, while complexity and quality metrics are in general computed on every system module, this result suggests that the fractal dimension could be considered as a global quality metric for large software systems. Our results need however to be confirmed for other large software systems. © 2011 ACM."
Shepperd M.,Data quality: Cinderella at the software metrics ball?,2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959818838&doi=10.1145%2f1985374.1985376&partnerID=40&md5=834ab31572e7638d734a4a2b47d48039,"In this keynote I explore what exactly do we mean by data quality, techniques to assess data quality and the very significant challenges that poor data quality can pose. I believe we neglect data quality at our peril since - whether we like it or not - our research results are founded upon data and our assumptions that data quality issues do not confound our results. A systematic review of the literature suggests that it is a minority practice to even explicitly discuss data quality. I therefore suggest that this topic should become a higher priority amongst empirical software engineering researchers. © 2011 ACM."
"Villegas N.M., Müller H.A., Tamura G., Duchien L., Casallas R.",A framework for evaluating quality-driven self-adaptive software systems,2011,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959550156&doi=10.1145%2f1988008.1988020&partnerID=40&md5=87328f5539e05de7c67c753109f03509,"Over the past decade the dynamic capabilities of self-adaptive software-intensive systems have proliferated and improved significantly. To advance the field of self-adaptive and self-managing systems further and to leverage the benefits of self-adaptation, we need to develop methods and tools to assess and possibly certify adaptation properties of self-adaptive systems, not only at design time but also, and especially, at run-time. In this paper we propose a framework for evaluating quality-driven self-adaptive software systems. Our framework is based on a survey of self-adaptive system papers and a set of adaptation properties derived from control theory properties. We also establish a mapping between these properties and software quality attributes. Thus, corresponding software quality metrics can then be used to assess adaptation properties. © 2011 ACM."
Hofman R.,Behavioral economics in software quality engineering,2011,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953204590&doi=10.1007%2fs10664-010-9140-x&partnerID=40&md5=dfaacf88e833c12b07de2fb424fea563,"This article describes empirical research results regarding the ""history effect"" in software quality evaluation processes. Most software quality models and evaluation processes models assume that software quality may be deterministically evaluated, especially when it is evaluated by experts. Consequently, software developers focus on the technical characteristics of the software product. A similar assumption is common in most engineering disciplines. However, in regard to other kinds of goods, direct violations of the assumption about objective evaluation were shown to be affected by the consequences of cognitive processes limitations. Ongoing discussion in the area of behavioral economics raises the question: are the experts prone to observation biases? If they are, then software quality models overlook an important aspect of software quality evaluation. This article proposes an experiment that aims to trace the influence of users' knowledge on software quality assessment. Measuring the influence of single variables for the software quality perception process is a complex task. There is no valid quality model for the precise measurement of product quality, and consequently software engineering does not have tools to freely manipulate the quality level for a product. This article proposes a simplified method to manipulate the observed quality level, thereby making it possible to conduct research. The proposed experiment has been conducted among professional software evaluators. The results show the significant negative influence (large effect size) of negative experience of users on final opinion about software quality regardless of its actual level. © 2010 Springer Science+Business Media, LLC."
Ross M.,Guest Editor's Introduction to the Special Section on the 2009 Software Quality Management conference,2011,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952814301&doi=10.1007%2fs11219-010-9126-3&partnerID=40&md5=b1210967643e4cce4cb58c10929edc05,[No abstract available]
"Savolainen J., Männistö T.",Conflict-centric software architectural views: Exposing trade-offs in quality requirements,2010,IEEE Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958186171&doi=10.1109%2fMS.2010.139&partnerID=40&md5=9c5b83d4d132cc2a9bcd91093c9af365,"Much work on software architectures has focused on how to document them. This has improved the understanding of real-life architectures. However, when multiple stakeholder concerns need to be addressed, they easily become scattered throughout the documentation. One reason might be that architectural views typically don't support the easy evaluation of trade-offs between conflicting quality attributes. When these concerns and related architectural decisions are distributed among many views, they are less obvious to architects and stakeholders. The authors propose an approach to creating architectural views that more prominently communicate the conflicts between key stakeholders' concerns. The approach also tends to reduce the amount of architectural documentation and thus increase its communication value by highlighting architectural decisions made to resolve the conflicts identified. © 2006 IEEE."
"Humayun A., Basit W., Farrukh G.A., Lodhi F., Aden R.",An empirical analysis of team review approaches for teaching quality software development,2010,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954779749&doi=10.1145%2f1806799.1806882&partnerID=40&md5=59516307b4b52f172cd8b507790f6d71,"Reviews are an integral part of the software development process. They are one of the key methodologies that undergraduates study in order to develop quality software. Despite their importance, reviews are rarely used in software engineering projects at the baccalaureate level. This paper demonstrates results from a study conducted on students at baccalaureate level enrolled in a one-semester software engineering course at the National University of Computer and Emerging Sciences - Foundation for Advancement of Science and Technology (NUCES-FAST) in Pakistan. The objectives of the study are: to determine how the various team review techniques help to educate students about the importance of the review process and find which technique is more suitable for teaching reviews to undergraduates. Two variations on team review are proposed: Similar Domain Review (SDR) and Cross-Domain Review (CDR) without author. The paper presents a comparison of the proposed and existing team review techniques and measures their effectiveness in terms of defect detection. The results show that the proposed variation SDR is more effective in defect detection than CDR (with/without author). Another interesting result is that the proposed CDR-without author is better than CDR with author (the existing team review approach). Also, early defect detection enabled students to incorporate changes and improve the software quality. © 2010 ACM."
"Black S., Jacobs J.",Using web 2.0 to improve software quality,2010,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954615380&doi=10.1145%2f1809198.1809201&partnerID=40&md5=7aa6de9da98d804ec18622aafd9d34f4,"Social media tools are starting to become mainstream and those working in the software development industry are often ahead of the game in terms of using current technological innovations to improve their work. With the advent of outsourcing and distributed teams the software industry is ideally placed to take advantage of social media technologies, tools and environments. This paper looks at how social media is being used by early adopters within the software development industry. Current tools and trends in social media tool use are described and critiqued: what works and what doesn't. We use industrial case studies from platform development, commercial application development and government contexts which provide a clear picture of the emergent state of the art. These real world experiences are then used to show how working collaboratively in geographically dispersed teams, enabled by social media, can enhance and improve the development experience. © 2010 ACM."
"Zheng J., Harper K.E.","Concurrency design patterns, software quality attributes and their tactics",2010,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954570582&doi=10.1145%2f1808954.1808964&partnerID=40&md5=46cfdf02f74de1d4d8809d601743a0e5,"With the prevalent application of multi-core CPUs, software practitioners are facing the challenge of developing high quality multi-threaded programs. Applying concurrency design patterns is one of the best practices in multi-core software engineering. We comprehensively surveyed 28 concurrency design patterns, and provided a problem-oriented guide that navigates software developers towards the ""right"" pattern(s) with minimal search/reading effort. The guide also illustrates the relationship between concurrency design patterns and the quality attributes they address. Additionally, further investigation was conducted on how these concurrency design patterns implement quality attributes tactics. We present a mapping between surveyed concurrency design patterns and the tactics for two important quality attributes: performance and modifiability. The results of these studies provide an insight into concurrency design patterns for software developers who are seeking appropriate or improved solutions to multi-threaded software development issues. © 2010 ACM."
